DrugGEN-NoTarget_MOL_ID,SMILES
MOL_03_001861,CCCCC(CCC(O)Nc1ccccc1C(O)OCC)C(O)O
MOL_03_009487,CC(C)N(c1nc2cc(O)c3c(c2s1)C(O)c1cccc(O)c1C3O)C(C)C
MOL_03_009799,CCCC(O)Nc1nc(Nc2ccc(-c3ncccn3)cc2)c2ncn(C(C)C)c2n1
MOL_03_004034,ONC(c1ccccc1)c1c(C(O)Nc2ccc(C(O)O)cc2)nn(-c2ccccc2)c1-c1ccccc1
MOL_03_005182,CN1CCC2(c3cccc(O)c3)CC(O)C(Cc3ccc(Cl)c(Cl)c3)C1C2
MOL_03_000524,CSCCC(N)C(O)OC(C)(C)C
MOL_03_006318,COCCNC(O)C(C#N)c1nc2ccccc2nc1N1CCCCCC1
MOL_03_009638,COc1cc(OC)cc(C(CC(N)O)N2C(O)c3ccccc3C2O)c1
MOL_03_007264,Cc1nc2cc(Nc3nc(Nc4ccc(F)cc4)nc(Nc4ncccn4)n3)ccc2n1Cc1ccccc1
MOL_03_008290,COCCC(Nc1ncnc2c(C(N)O)cccc12)c1cccc(NC(O)c2ccc(F)c(F)c2)c1
MOL_03_009026,CCc1cccc(CC)c1-c1cc(OC)c2c(n1)CCCC2Nc1cccc(OC)c1
MOL_03_000382,CS(O)(O)N(CCCCCCC(O)O)CCCC(O)COc1cccc(F)c1
MOL_03_008205,CC(NNC(N)NNC(C)c1ccccc1)c1ccccc1
MOL_03_006311,CN(c1ccccc1)C(S)Oc1ccc(C(O)Nc2ccccc2)cc1
MOL_03_009821,CCCCCCCCCCCCCCCCOCC(COC1OC(CN)C(O)C(O)C1N1C(O)c2ccccc2C1O)OC
MOL_03_003399,OC(NCCCCN1CCCC1)C1C(C(O)NCc2c(F)ccc(F)c2Cl)C2CCC1C21CC1
MOL_03_000971,CCn1c(SCC(O)c2cccs2)nnc1-c1cccs1
MOL_03_003959,OC(CCCCCCSC(O)C1CCCC1)Nc1ccccc1
MOL_03_002212,CC(C)CN(Cc1ccc(OCCN2C(O)CCC2O)c(F)c1)C(CC(O)O)c1ccc(Cl)cc1
MOL_03_005438,CCCCNC(S)NNC(O)c1cc(C2CC2)nc2ccccc12
MOL_03_005622,COC(O)C1CCN(c2ccc(N(O)O)cc2N(O)O)CC1
MOL_03_002635,NC(O)c1cc(NC(O)N2CCCC2C(O)Nc2cccc(OC(F)(F)F)c2)c2ccccn12
MOL_03_001533,COc1ccc(CCC(O)c2c(O)cc(OC)c(OC)c2OC)c(OC)c1
MOL_03_007479,CC(C)(C)OC(O)NNCc1ccc(N(O)O)s1
MOL_03_005638,CN1CCCCC1CCc1ccccc1NC(O)CCc1ccccc1
MOL_03_003482,CN1CCC(c2cc(CCO)ncn2)C1
MOL_03_000113,OC(CCCCc1ncc2ccccc2n1)([PH](O)(O)O)[PH](O)(O)O
MOL_03_008889,Cc1ccsc1-c1nccn1CCN1CCCOC1O
MOL_03_002291,OC(NC(Cc1ccccc1)C(O)C(O)NCCNS(O)(O)c1ccc(-c2ccccn2)s1)c1c(Cl)cccc1Cl
MOL_03_004237,CCNCCCNCC1CCCC(N)CC1
MOL_03_006023,CCCc1cc(O)nc(SCC(C)(C)c2ccccc2)n1
MOL_03_009175,COc1cc2ncc(C#N)c(Nc3ccc(Cl)cc3Cl)c2cc1OC
MOL_03_003329,COc1ccccc1N1CCN(Cc2nc(O)c3ccccc3n2)CC1
MOL_03_000915,Cc1cc2c(cc1Cl)SC(C1C(O)NC(O)NC1O)NS2(O)O
MOL_03_000168,Cc1ccccc1Nc1nc(NCCc2ccccc2)nc2ccccc12
MOL_03_000874,CCCCCCCCNC(O)CCCC(C)CCCC(C)C
MOL_03_005689,CN(Cc1ccc(F)cc1)C(O)c1ccc(-c2cc(C3CC(O)CCC3O)no2)s1
MOL_03_007571,CCn1nc(CNC(C)(C)CO)c(-c2ccccc2)n1
MOL_03_009911,N#Cc1cnc(NC(O)Nc2ccc(OCCNCc3ccc(F)cc3F)c(Cl)c2)cn1
MOL_03_005548,Fc1ccc(C(Cc2ccccc2OC(F)F)N2CCNCC2)cc1
MOL_03_007311,NC1(C(O)O)CC(C(O)O)N(Cc2ccccc2C(O)O)C1
MOL_03_002876,CC1(C)CC(NC(S)Nc2ccc(Cl)cc2)c2cc(NCO)ccc2O1
MOL_03_003289,OC(O)c1ccc(Cl)cc1NC(O)c1cccc(Oc2ccccc2)c1
MOL_03_009674,COCCOCCOCCOCC(O)Oc1c(C(C)C)cccc1C(C)C
MOL_03_004296,N#Cc1ccc(Nc2nc(N)nc(Nc3ccc(F)cc3)n2)cc1
MOL_03_006369,NC(N)NC(O)N1CCc2cccc(-c3cc(F)c(F)cc3F)c2C1
MOL_03_001364,COc1ccc(C)cc1N1C(N)C(c2nc3ccccc3s2)C(c2ccccc2)C1O
MOL_03_000350,CN1C(C(O)c2ccccc2)C(OCC(O)c2ccccc2)c2ccccc2S1(O)O
MOL_03_002384,COc1ccccc1NC(O)CN1c2cc(S(O)(O)N3CCC(C)CC3)ccc2OCC1O
MOL_03_008258,CC(C)n1nnnc1SCC(O)Nc1cccc(F)c1
MOL_03_005639,ONC(O)CCCCCNC(O)c1ccc(-c2ccccc2)cc1
MOL_03_001470,OC(Nc1nccs1)c1ncsc1CCN1CCCCC1
MOL_03_003615,CC(C)n1ncnc1-n1cc2c(n1)-c1ccccc1OCC2
MOL_03_003398,CC1CC23C(C)CC4C(C(CC(CO)C(O)C2(O)C1OC(O)c1c(N)cccc1Cl)C3O)C4(C)C
MOL_03_007328,Clc1ccc(-n2nnnc2SCc2ccccc2)cc1
MOL_03_003565,Cc1c(C(O)O)c2cc(O)ccc2n1-c1ccccc1
MOL_03_001746,Cc1nn(C)c(C)c1NS(O)(O)c1c(Cl)cc(C#CCN2CCCCC2)cc1Cl
MOL_03_003333,NS(O)(O)c1ccc(NC(O)CN2CCCC2)cc1
MOL_03_002762,COc1ccc(CCN2CCN(c3ccccc3Cl)CC2)cc1OC
MOL_03_008259,OC(c1ccc2c(c1)ncn2C1CCCCC1)N1CCC2(CC1)OCCO2
MOL_03_009541,CC12CC(C34CC5CC(CC(C5)C3)C4)(OO1)OO2
MOL_03_007491,CCOc1c(C(O)N2CCOCC2)nc(-c2ccc(NC(O)Nc3ccccc3)cc2)nc1N1CCOCC1
MOL_03_001046,CCCCCCCCCCCCCCCCCCCCOCCO
MOL_03_001183,OC1Nc2c(COCc3ccccc3)ccnc2N(C2CC2)c2ncccc21
MOL_03_005233,CNC(O)C1OC(C(O)O)CC(N)C1NC(C)O
MOL_03_002283,COC1(c2cccc(COc3ccccc3OCc3ccccc3)c2)CCOCC1
MOL_03_002972,COc1ccc(N(CC(O)NC(C)(C)C)S(O)(O)c2ccccc2)cc1OC
MOL_03_007281,OC(CN1CCCC(c2ccccc2)(c2ccccc2)C1O)N1CCC(c2ccccc2)(c2ccccc2)CC1
MOL_03_003073,COc1ccc(N)cc1-n1cnnn1
MOL_03_002645,CCN(CC)CCC(O)Nc1ccc2cnn(S(O)(O)c3cccc4ccccc34)c2c1
MOL_03_000053,OC(c1ccc(Cl)cc1)(c1cccnc1)c1cccc(F)c1F
MOL_03_004821,CC(NCCc1ccc(S(N)(O)O)cc1)C1CCC2(C)C1CCC1C2CCC2C(C)(C)C(O)CCC12C
MOL_03_004948,CCNc1cc(C(O)NC(Cc2ccccc2)C(O)CNCC(C)C)cc(N2CCCC2O)c1
MOL_03_007280,CCOC(O)c1sc2nc3c(cc2c1N)COC(C)(CC)C3
MOL_03_006156,SC(NCC12CC3CC(CC(C3)C1)C2)NC12CC3CC(CC(C3)C1)C2
MOL_03_000975,CCOc1ccc(C)cc1S(O)(O)n1ccc(C)n1
MOL_03_001514,CC(C)CC(NC(O)COc1ccc2c(c1)CCCC2)C(O)NC1CC(O)OC1O
MOL_03_007052,COC1CCC2CN(CCc3ccccc3)C1CN2Cc1ccccc1
MOL_03_009847,Cc1sc(NC(O)CN2CCOCC2)c(C(O)c2ccccc2)c1C
MOL_03_004207,Nc1c2c(nc3c1C(c1ccc(N(O)O)cc1)c1ccc4ccccc4c1O3)CCCC2
MOL_03_009221,Clc1cc(N2CCNCC2)cc(Cl)c1OCc1ccccc1
MOL_03_002408,COc1ccccc1-n1ccnc1CCC(O)CCc1nccn1-c1ccccc1OC
MOL_03_007520,CCN(c1ccc(OC)c2nc(NC(O)c3ccc(C(O)N(C)CCOC)cc3)sc12)C(C)O
MOL_03_000029,CCOc1ccccc1CNCc1c(C(O)O)c(C)n(Cc2ccc(C)cc2)c1C
MOL_03_009501,COCOc1ccc(CNC(O)CCCCCN2CCN(c3ccccc3-c3ccccc3)CC2)cc1
MOL_03_000561,CC(O)Nc1ccc2cccnc2c1N(O)O
MOL_03_006558,CNC(O)c1ccc(C2CN(CC(O)N(C)C)CCO2)nc1
MOL_03_007907,c1cnc(N2CCCC(c3csc(Nc4cnccn4)n3)C2)nc1
MOL_03_001286,COC1SC(C)C(O)C(O)C1O
MOL_03_006456,COc1ccccc1N(C)S(O)(O)c1ccc(C(O)OCC(O)Nc2ccc(C(N)O)cc2)cc1
MOL_03_008006,CCOC(O)c1cnc2c(cnn2CC(Cl)c2ccccc2)c1N1CCN(C)CC1
MOL_03_000905,Cc1ccc(C(C)n2cc(C(O)NCc3ccncc3)nn2)cc1
MOL_03_004345,CC(O)c1ccc(Nc2ccc(N(O)O)cc2)c(C(O)O)c1
MOL_03_006114,CCCCCCCCC(O)CCCCCCC1NNC2SCC(c3ccccc3)NN12
MOL_03_008749,Cc1nccn1CC1CCCN(C(O)Cc2ccsc2)C1
MOL_03_009492,CC(C)(C)NC(O)C1(C)CCC(O)N1NCc1ccc(N(O)O)o1
MOL_03_008323,Cc1ccc(Nc2c(-c3ccccn3)nc3cc(C)ccn23)cc1
MOL_03_004299,CNc1nc(C)cc(C)c1S(O)(O)c1ccc(C)cc1
MOL_03_004881,CCCc1cccc2c1CCN1C(O)CNC(n3cnc(-c4ncco4)c3)CC21
MOL_03_000220,CC(C)(C)C(O)NCCCCN1CCN2c3ccc(Cl)cc3CCC2C1
MOL_03_002522,Cc1c(C(N)O)sc2nc(-c3ccncc3)nc(NCCN)c12
MOL_03_008561,NCC1CCC(CNC(O)C(NC(O)c2cccc(C(N)N)c2)C2CCCCC2)CC1
MOL_03_004826,CC(C)CC(C)NCc1cccnc1N1CCN(c2ccccn2)CC1
MOL_03_005949,COC1CC(O)c2c(cc3n2CCC3)C1O
MOL_03_008665,CCN1CC(O)N(CCc2ccc(F)cc2)C1S
MOL_03_004800,CC(O)CC1c2cc(C(F)(F)F)ccc2S(O)(O)N1c1ccccc1
MOL_03_004689,CCc1ncnc(N2CCC3(CCN(C)CC3)CC2)c1C#Cc1ccc(N)nc1
MOL_03_009194,CC1(C)Cc2cccc(OCC(O)N3CCN(c4ccc(F)cc4)CC3)c2O1
MOL_03_003544,Cc1ccn(CC(O)Nc2cc(C(O)c3cn(C(C)C)c4ccncc34)ccn2)n1
MOL_03_006556,OC(NCCCc1ccccc1)NCCc1ccc(Cl)cc1Cl
MOL_03_007739,OC(c1cc(Cl)cc(Cl)c1)N1CCCC2CC3CC(CN4CCCCC34)C21
MOL_03_005065,COc1ccc(-c2nc(NCc3ccccc3)c3cc(OC)c(OC)cc3n2)cc1
MOL_03_001266,CC(C)c1ccc(NC(O)C(C)NC(O)C2Cc3ccccc3CN2)cc1
MOL_03_006385,COc1ccc(CCNC(O)C2CCN(S(O)(O)c3cccs3)CC2)cc1OC
MOL_03_002057,CC(C)c1cc(O)c(CO)c2c1C(O)C(C)C(O)C2O
MOL_03_000509,CNC(O)CCC(NS(O)(O)c1ccc(Cl)c2ccccc12)C(O)NC
MOL_03_002069,OC1NC(O)C(Cc2cnn3c(NC4CCCC4)cc(Nc4cccc(Cl)c4)nc23)N1
MOL_03_004788,CCN1c2ccc(S(O)(O)NC3CCCC3)c3cccc(c23)C1O
MOL_03_004272,Cc1cc(C)c(CNC(O)NCC(O)c2ccc(Cl)cc2)c(O)n1
MOL_03_006250,OC(NCCc1ccncc1)C1CCN(C(O)C2CCCN2C(O)c2ccc(Cl)cc2)CC1
MOL_03_006966,COc1cccc(N(C)C(O)c2ccc(-c3ccc(C)c(C)c3)cc2)c1
MOL_03_009859,CCOc1ccc(NC(O)CN(C)C(O)c2c(-c3c(F)cccc3Cl)noc2C)cc1OCC
MOL_03_003297,CCCCNc1c(Cl)c(Cl)c(C#N)c(Cl)c1C#N
MOL_03_001024,CN(C)S(O)(O)c1ccc(-n2nc(C(N)O)c3c2-c2cc(NC(O)c4cccc(Cl)c4)ccc2CC3)cc1
MOL_03_002801,CC(C)CN(Cc1cc(Cl)c2c(c1)OCCCO2)C(O)C(C)CNCc1ccccn1
MOL_03_007117,CCN1C(C(O)NC(Cc2ccccc2)C(O)C(O)NCC2CC2)Cc2cc3c(cc2S1(O)O)OCCO3
MOL_03_006078,CCOC(O)C1(Cc2ccc(OCc3cc(C)nc4ccccc34)c(Cl)c2)CC1C(O)NO
MOL_03_000416,Cn1c(COc2ccc(Cl)cc2Cl)c(CN2CCCCC2)c2ccccc21
MOL_03_003035,CC(O)NC1C(OC(C)C)CC(C(O)O)C(C)C1N
MOL_03_004779,COc1ccccc1N1CCN(CCn2c(O)nc3nc(-c4ccc(Cl)cc4)cc-3c2O)CC1
MOL_03_004421,CCCN(CCc1ccc(Cl)cc1Cl)C(O)C1OC(C(O)O)CC(N)C1NC(C)O
MOL_03_004808,Oc1cc2c3c(ccc(-c4ccccc4)c3c1O)C(O)OC2
MOL_03_008390,CN(C)CCC(Oc1ccc(NC(O)Nc2ccc3ccn(C)c3c2)cc1)c1ccccc1
MOL_03_007408,CC(C)c1ccccc1OCCCCN1CCCCC1
MOL_03_002703,CC12CCC(c3ccc(O)cc3O)CC1CCC2O
MOL_03_009908,c1ccc2c(C3(Cn4ccnc4)SCCS3)cccc2c1
MOL_03_006763,CCC(C)C(O)OCC(C)NC(O)C(N)CC(O)O
MOL_03_002330,COC(O)C(c1ccccc1)N(C)C(O)c1ccnc(C)n1
MOL_03_002307,Nc1nc(N)c(C(O)NC(CC(O)O)c2ccc(-c3ccccc3)cc2)nc1Cl
MOL_03_007549,NC(N)Nc1ccc(-c2ccccc2)cn1
MOL_03_003811,ONC(O)C1CSC(c2ccc(F)cc2)N1
MOL_03_007238,FC(F)(F)c1cccc(Nc2nnc(-c3cnccc3CCc3ccncc3)o2)c1
MOL_03_000099,CNC(O)c1cccc(Nc2ncnc(N3CC(COc4ccc(OC)cc4)C3)n2)c1
MOL_03_003545,COc1cc2c(cc1OC)C(C1CC(C)C(O)O1)N(C(O)OCc1ccccc1)CC2
MOL_03_002006,COc1cc(CN2CCC(NC(O)c3cncc(C)c3)CC2)c(OC)c2ccccc12
MOL_03_006299,CCC(C)(c1csc(CCc2cccc(NC(O)Cc3ccccc3C(O)O)c2)n1)C(N)O
MOL_03_005409,COc1cc(Nc2nccc(N3CCC(NC(O)Nc4cc(C)ccc4C)C3)n2)cc(OC)c1OC
MOL_03_002431,Cc1cc2cc(c1)C(O)NC(C(O)CNCc1cccc(C(C)C)c1)COCCCCC(c1ccccc1)NC2O
MOL_03_003755,COc1ccc2nc(NC(N)N)nc(C)c2c1
MOL_03_005745,ONC(S)NNC1c2cc(Cl)ccc2N(CN2CCN(c3ccccc3)CC2)C1O
MOL_03_005029,OC(Cc1cccc(-n2cccn2)c1)Nc1nnc(CCCCc2nnc(NC(O)Cc3cccc(-n4cccn4)c3)s2)s1
MOL_03_006600,Cc1ccc(NC(O)NCCCCC(C)NCC(O)c2ccc(O)c(O)c2)cc1
MOL_03_005377,OC1CC2C(c3ccco3)CC3CC2(O1)C1CCCCN31
MOL_03_005074,COc1ccc(NC2CC(O)c3cnncc3C2O)cc1
MOL_03_000768,Cc1cc(C)n(-c2nc3ccccc3nc2Nc2ccc3c(c2)OCO3)n1
MOL_03_001461,Cc1nnsc1C(O)N(C)Cc1nc(-c2ccccn2)no1
MOL_03_008428,CCC(CC)(NC(O)c1cccc(OC)c1C)C(O)c1ccccc1
MOL_03_000682,CCN(CC)CCNC1c2ccccc2CCc2ccccc21
MOL_03_001999,Cc1cccc(Nc2nc(-c3ccncc3C#CCN3CCN(C)CC3)cs2)c1
MOL_03_006638,CC(CC1CC(C2CCC(O)(CO)CC2)C(O)O1)C(N)O
MOL_03_001707,COC1CCN(N(C)C)O1
MOL_03_002474,CN(C1CCN(C(O)c2cccnc2)CC1)C(O)c1cc(Cc2nnc(O)c3c2NCCC3)ccc1F
MOL_03_005467,OC(Oc1ccccc1)N1CCC2(CCN(Cc3ccncc3)CC2)CC1
MOL_03_002240,CS(O)(O)NC(O)c1cc(Cl)c(COc2ccc3c(c2)CCCC3)cc1F
MOL_03_005347,COc1cc2cnc(-c3ccccc3)cc2cc1OC
MOL_03_009364,NC(O)c1ccc(Oc2cccc3ccccc23)cc1
MOL_03_008017,CNS(O)(O)c1cc(C(O)NC2CCC(CN3C4CCC3CC(n3c(C)nc5ccccc53)C4)CC2)c(Cl)cc1F
MOL_03_001740,Cc1cc(NNc2cc(N(O)O)cc(N(O)O)c2O)c(O)c(NC(C)O)c1
MOL_03_009826,COC1CC2(C)CC(OC(O)C(C)C)C3C(CC(C)C1(O)O2)OC(O)C3C
MOL_03_002664,CC(C)C(NC(O)c1ccc2ccccc2c1)C(O)NC(C)C(O)NC(CC(O)O)C(O)COc1ccccc1
MOL_03_002446,COCC(C)N1CC(c2ccc(F)cc2F)C(C(O)N2CCC3(CC2)OC(C(C)(C)C#N)c2cc(C)c(Cl)cc23)C1
MOL_03_004943,CC(C)(C)CNc1nc(C#N)nc(N2CCOCC2)c1N
MOL_03_004446,COc1ccc(-c2onc(C)c2C)cc1S(O)(O)Nc1ccc(OC(F)(F)F)cc1
MOL_03_000482,Oc1ccc(C(O)NC2CNCC2OC(O)c2cc(O)c(C(O)Nc3ccccc3C(O)O)c(O)c2)cc1
MOL_03_003967,CN1CCN(Cc2cccc(Cl)c2Cl)C(C2NCCN2)C1
MOL_03_006622,N#CNC(N)c1ncn(C2OC(CO)C(O)C2O)n1
MOL_03_005619,COc1cccc(CC(O)Nc2csc(-c3ccncc3)c2)c1
MOL_03_005081,OC(O)CCC(NC(O)NC(Cc1ccccc1)C(O)O)C(O)O
MOL_03_002768,Cc1c(-c2ccc(-c3cccnc3Cl)cc2)nc2ccccc2c1C(O)O
MOL_03_009442,CCCCCCCCCCCCCC(O)Nc1ccc(OC)cc1
MOL_03_008676,OC(Cc1csc(-c2ccccc2F)n1)NCc1cccc(C(O)O)c1
MOL_03_002273,COC(O)C1C(c2ccc(OCc3ccccc3)c(F)c2)CC2CCC1N2C
MOL_03_006995,CCCCCCC(C(O)O)C(C)C(O)O
MOL_03_001342,OC(O)CN(Cc1ccccc1)Cc1ccc(C(O)O)c(C(O)O)c1
MOL_03_007992,COc1cccc(C2(C(O)NS(O)(O)Oc3ccccc3)CCN(c3ccccc3OC)CC2)c1
MOL_03_003731,COc1ccc(-c2ccc(CNC(O)NC3CCN(Cc4ccc(C)cc4)CC3)cc2)cc1
MOL_03_005580,NCCC(NC(O)c1ccc(-c2ccccc2)o1)C(O)N1CCNCC1
MOL_03_003377,CC(C)(C)OC(O)NC(CSC(Cl)C(Cl)Cl)C(O)NC1C(SC2CCCCC2)OC(CO)C(O)C1O
MOL_03_001688,COc1ccc(CCC(O)Nc2ccc(C)cc2N)cc1OCC(O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1
MOL_03_003067,Cc1ccc(C2C(C)C(N3CCN(c4ccccc4)CC3)NS2(O)O)cc1
MOL_03_003153,Cc1nn(CCCl)c(C)c1S(O)(O)NC(O)c1ccc(N2CCN(Cc3ccccc3-c3ccc(Cl)cc3)CC2)cc1
MOL_03_005923,CCOc1ccc(-c2nccnc2C2CN(c3ccc4ccccc4n3)C2)cc1Cl
MOL_03_005232,COC(O)c1cccc2oc(-c3cc4ccccc4cc3O)nc12
MOL_03_005171,Oc1ccc2c3c1OC1C(N(CCCl)CCCl)CCC4(O)C(C2)N(CC2CC2)CCC314
MOL_03_009566,CCN(c1ccc(N(O)O)cc1)c1cc(C(O)N2CCCC2)n(C)c1
MOL_03_007395,CN(C)CC(O)Nc1ccc2c(c1O)C(O)C1C(C2)CC2C(N(C)C)C(O)C(C(N)O)C(O)C2(O)C1O
MOL_03_000759,CCCCC(O)N1CC(NC(O)CCCCCCCCCCC(O)NC2CN(C(O)CCCC)C2O)C1O
MOL_03_005193,c1ccc2sc(C3(N4CCCCC4)CCCCCC3)cc2c1
MOL_03_008964,CCOc1ccc(-c2nc(C#N)c(N3CCN(CC)CC3)o2)cc1
MOL_03_009150,COc1ccc(N2CCN(C3CCOC3O)CC2)cc1
MOL_03_009929,Nc1ncnc2c1ncn2C1OC(CO[PH](O)(O)C(O)O)C(O)C1O
MOL_03_002865,CC(O)c1ccc(NC(S)NC(C)c2ccc(Cl)cc2Cl)cc1
MOL_03_008819,COc1cc2c(cc1CO)nc(-c1nccs1)n2-c1cc2nc(N)nc(N)c2cc1C
MOL_03_003272,Cc1ccc(S(O)(O)NCC2CCC(C(O)NCCc3ccccc3)CC2)cc1
MOL_03_002985,COc1ccc(C(C(O)NC2CCCC2)N(Cc2ccccc2)C(O)c2nsc(Cl)c2Cl)cc1
MOL_03_005685,Cc1nc2nc(SCC(O)NCc3ccccc3Cl)nn2c(C)c1Cc1ccccc1
MOL_03_002591,COc1cc(-c2nnn(CC(O)NCc3ccccc3)n2)cc(OC)c1OC
MOL_03_003790,Cc1cccc(N2CCN(CCCCNC(O)c3cc4ccccc4cn3)CC2)n1
MOL_03_002260,OC(c1ccco1)N1c2cccc3cccc(c23)C1O
MOL_03_003448,COC(O)c1ccccc1NC(O)c1ccc(COc2cccc3ccccc23)o1
MOL_03_005420,CS(O)(O)Nc1cc(Nc2nccc(Nc3c(Cl)ccc4c3OCO4)n2)cc(S(C)(O)O)c1
MOL_03_003812,CN(C)C(O)c1cccc(Nc2nsnc2NC(c2ccc3c(c2)OCO3)C(C)(C)C)c1O
MOL_03_000219,OC(O)CCCN1CCCC1
MOL_03_005605,COc1ccc(C(O)NCC(O)N2CCN(C(O)c3ccco3)CC2)cc1
MOL_03_007227,OC(NCCCCN1CCCCC1)c1ccc(-c2ccccc2)cc1
MOL_03_003738,Cn1cnc(C(O)N2CCC(c3ccccc3C(F)(F)F)CC2)c1
MOL_03_002542,Cc1c(C)n(Cc2ccc(-c3ccccc3C(O)O)cc2)c2ccc(C(O)NC(C)c3ccc(N)cc3)cc12
MOL_03_006918,COC(O)Nc1ccc2c(c1)NC(O)C(C)CCCC(N1CCC(c3c(F)ccc(C)c3F)CC1O)c1cc-2ccn1
MOL_03_000002,COc1c(I)ccc2oc(C(O)Nc3ccc(-c4ccc(S(O)(O)NC(C(C)C)C(O)O)cc4)cc3)c(C)c12
MOL_03_005323,OS(O)(Nc1cc(Cl)ccc1Cn1ccnn1)c1cc(Cl)c(Cl)s1
MOL_03_007461,Clc1ccc(-c2nn(-c3ccc(Cl)cc3)c3c2CCC3)cc1
MOL_03_005911,CC(C)(CC(O)NCCS(O)(O)O)N(Cl)Cl
MOL_03_002336,Nc1ccc(N(c2ccccc2)c2ccc(N)cc2)cc1
MOL_03_002460,CC1(c2ccc(Nc3nn(C4CCC(O)CC4C#N)cc3C(N)O)cc2)COC1
MOL_03_004792,NC(O)NC(O)CCN1CCN(c2nccs2)CC1
MOL_03_007261,CC(O)n1cc(NC(O)N2CC(CO)CC2C(O)NCc2cccc(Cl)c2F)c2ccccc21
MOL_03_002966,OC1CC2(CCN(S(O)(O)c3cccs3)C2)CN1c1cccc(F)c1
MOL_03_007139,Cc1cccc(Nc2nnc(-c3ccncc3)o2)c1
MOL_03_006691,OC(CF)NCCCCCC(O)Nc1ccccc1
MOL_03_008952,OC1c2ccncc2C(O)N1C1CCCCC1
MOL_03_009967,CC(C)c1cc(Oc2c(C(C)C)cc(NC(O)C(O)O)cc2C(C)C)ccc1O
MOL_03_008351,CN(C)c1ccc(CN2CCOc3ccc(CN4CCC(O)(c5cccnc5)CC4)cc3C2)cc1
MOL_03_004119,COc1cc(-c2nc(C3CC(C)(O)C3)n3ccnc(N)c23)ccc1Oc1cccc(F)c1
MOL_03_001692,CC(O)N1NC(c2ccc(N)cc2)c2cc3c(cc2CC1C)OCO3
MOL_03_008049,CCO[PH](O)(Cc1ccc(NC(O)CNC(O)C2OC(n3cnc4c(N)ncnc43)C(O)C2O)cc1)OCC
MOL_03_009723,CCOC(O)C1CCN(S(O)(O)c2ccc(CNC(O)c3ccccc3)s2)CC1
MOL_03_002977,Cc1ccc(N(CC(O)NNCc2cc(C)n(-c3ccccc3)c2C)S(C)(O)O)c(C)c1
MOL_03_008844,OC(COc1ccc(C(O)O)cc1)COc1ccc2c(c1)C(O)N(CCCCc1ccccc1)C2O
MOL_03_008226,Clc1ccc(Nc2ncnc3cc4ccccc4cc23)cc1
MOL_03_009002,COC1(CN(C)C)CCN(c2nccc(Nc3cc4c(cn3)nc(C)n4C(C)C)n2)CC1
MOL_03_002978,OC1CCC2(Oc3cccc4cccc(c34)O2)c2cccc(OCc3ccoc3)c21
MOL_03_005536,Nc1nc2ccccc2c2c1ncn2C1OC(COS(O)(O)NC(O)CCCCC2SCC3NC(O)NC32)C(O)C1O
MOL_03_000602,CC(O)N1C(Cc2ccccc2)CCC1(C)C(O)NCc1cc(F)cc(C(F)(F)F)c1
MOL_03_003365,OC(NCCc1ccccc1)c1ccc(Cn2c(SCc3ccccc3F)nc3cccnc32)cc1
MOL_03_007935,CC(O)Nc1ncc(C(O)NC(C)c2ccc(C3CN(c4ccc(OCC5CC5)cc4)C3)cc2)s1
MOL_03_007730,Cc1cc(OC(C)C)nc(NCc2ccccc2)n1
MOL_03_003051,CN(Cc1ccco1)c1nc(-c2ccccc2C(F)(F)F)nc2ccccc12
MOL_03_004642,COc1cccc(N(C)C(N)Nc2cccc3ccccc23)c1
MOL_03_007097,COc1ccc(NC(O)CCCC(O)c2ccccc2)cc1
MOL_03_006275,CC(C)(C)OC(O)N1CCC(N2C(O)NC(O)C2Cc2ccc(OS(O)(O)c3cccc4cnccc34)cc2)CC1
MOL_03_000530,COc1ccc2nc3cc(Cl)ccc3c(NCCc3ccccc3)c2c1
MOL_03_002477,Oc1ncnc2c1ncn2CCN(CCOCc1ccccc1)CC[PH](O)(O)O
MOL_03_007526,CCC(c1cccc(Cl)c1)n1c(C(O)OC)cnc1S
MOL_03_002379,CCOC(O)c1ccc(NC(O)NCc2c(C)nn(CC)c2C)cc1
MOL_03_001829,COc1ccc2c(c1)CN(c1cc(N3CCCC3CO)ncn1)CC2
MOL_03_005549,COc1ccc(NC(C)c2sc3ccccc3c2O)cc1
MOL_03_001234,Nc1nc(N)c(CCN(Cc2ccc(NC(CCC(O)O)C(O)O)cc2)c2ccc(N(O)O)c(F)c2F)c(O)n1
MOL_03_008828,CC(C)c1cc(-c2nnc(O)n2-c2ccc(N3CCOCC3)nc2)c(O)cc1O[PH](O)(O)O
MOL_03_006331,CCCCn1nnnc1C(c1ccccc1)N1CCN(CCCc2ccccc2)CC1
MOL_03_002568,OC(c1nccs1)C1CCN(C(O)c2cscn2)CC1
MOL_03_002959,Oc1nc2cc3c(cc2cc1CN(CCN1CCOCC1)C(O)NC1CCCCC1)OCCO3
MOL_03_008446,CCN(CC)C(O)c1cccc(NC(O)CCc2nc(O)c3c4c(sc3n2)CCCC4)c1
MOL_03_001567,CCN(CC)CC(NC(O)C1Cc2ccc(O)cc2CN1)C(C)C
MOL_03_003105,Cc1ccc(-c2noc(C3CCC(NO)C3)n2)cc1NC(O)c1cnc2ccccn12
